tau,S_central,p_low,p_high,rows_low,rows_high,denominator_weight,local_slope,normalized_weight,run,protocol,n
10,2,0.28000000000000003,0.29999999999999999,255,251,51.658595641646293,-0.035897195531599174,0.0019098298266438437,primary,random_pauli,128
10,2,0.28000000000000003,0.34000000000000002,255,191,353.78934624697342,-0.045659925401225071,0.01307967120319036,primary,random_pauli,128
10,2,0.29999999999999999,0.34000000000000002,251,191,154.77320419693331,-0.050541290336038013,0.0057219999511996271,primary,random_pauli,128
10,3,0.22,0.23999999999999999,15,98,1.4554455445544536,-0.0001360544217687277,5.3808147076400135e-05,primary,random_pauli,128
10,3,0.22,0.25,15,177,5.9146039603960396,-0.054689265536723174,0.00021866423033853449,primary,random_pauli,128
10,3,0.22,0.26000000000000001,15,191,11.34653465346535,-0.036369982547993014,0.00041948392210581391,primary,random_pauli,128
10,3,0.22,0.27000000000000002,15,197,18.285891089108922,-0.047620981387478847,0.00067603348048793669,primary,random_pauli,128
10,3,0.22,0.28000000000000003,15,174,23.257425742574277,-0.062528735632183891,0.00085983222777186522,primary,random_pauli,128
10,3,0.22,0.29999999999999999,15,128,30.4158415841584,-0.04924479166666669,0.0011244804613517098,primary,random_pauli,128
10,3,0.22,0.34000000000000002,15,30,16.039603960396047,-0.064444444444444443,0.00059298774329094128,primary,random_pauli,128
10,3,0.23999999999999999,0.25,98,177,4.2935643564356507,-0.16379568776663192,0.00015873403387538086,primary,random_pauli,128
10,3,0.23999999999999999,0.26000000000000001,98,191,18.532673267326768,-0.072603910674217245,0.00068515707277283055,primary,random_pauli,128
10,3,0.23999999999999999,0.27000000000000002,98,197,43.008415841584231,-0.079277599364618881,0.0015900307461076287,primary,random_pauli,128
10,3,0.23999999999999999,0.28000000000000003,98,174,67.532673267326842,-0.09372507623739143,0.0024966980243449734,primary,random_pauli,128
10,3,0.23999999999999999,0.29999999999999999,98,128,111.77821782178219,-0.06561437074829933,0.0041324656954675361,primary,random_pauli,128
10,3,0.23999999999999999,0.34000000000000002,98,30,72.772277227722824,-0.077306122448979567,0.002690407353820012,primary,random_pauli,128
10,3,0.25,0.26000000000000001,177,191,8.3680693069307068,0.018587866418197412,0.00030936939255303818,primary,random_pauli,128
10,3,0.25,0.27000000000000002,177,197,34.523762376237677,-0.037018555163612361,0.0012763512111612257,primary,random_pauli,128
10,3,0.25,0.28000000000000003,177,174,68.609405940594186,-0.0703682057276446,0.0025365050719270048,primary,random_pauli,128
10,3,0.25,0.29999999999999999,177,128,140.19801980198014,-0.045978107344632785,0.0051831521265430381,primary,random_pauli,128
10,3,0.25,0.34000000000000002,177,30,106.46287128712876,-0.067696170747018197,0.0039359561460936224,primary,random_pauli,128
10,3,0.26000000000000001,0.27000000000000002,191,197,9.3136138613861572,-0.092624976745422138,0.0003443263860618562,primary,random_pauli,128
10,3,0.26000000000000001,0.28000000000000003,191,174,32.904950495049562,-0.11484624180056562,0.0012165033741068621,primary,random_pauli,128
10,3,0.26000000000000001,0.29999999999999999,191,128,96.823762376237511,-0.062119600785340366,0.0035795961353029403,primary,random_pauli,128
10,3,0.26000000000000001,0.34000000000000002,191,30,90.772277227722796,-0.078481675392670161,0.0033558713768465113,primary,random_pauli,128
10,3,0.27000000000000002,0.28000000000000003,197,174,8.4846534653465486,-0.13706750685570912,0.00031367953494640291,primary,random_pauli,128
10,3,0.27000000000000002,0.29999999999999999,197,128,56.174257425742461,-0.051951142131979745,0.002076774852058936,primary,random_pauli,128
10,3,0.27000000000000002,0.34000000000000002,197,30,71.68069306930694,-0.076461203770848446,0.0026500512435127105,primary,random_pauli,128
10,3,0.28000000000000003,0.29999999999999999,174,128,22.051485148514764,-0.0093929597701149538,0.00081524833447998676,primary,random_pauli,128
10,3,0.28000000000000003,0.34000000000000002,174,30,46.514851485148519,-0.066360153256704982,0.0017196644555437291,primary,random_pauli,128
10,3,0.29999999999999999,0.34000000000000002,128,30,15.207920792079236,-0.094843749999999921,0.00056224023067585622,primary,random_pauli,128
10,4,0.22,0.23999999999999999,51,163,9.5993071593533372,-0.045182244677011957,0.00035488853114057557,primary,random_pauli,128
10,4,0.22,0.25,51,201,26.633660508083139,-0.024114720515071724,0.00098465238164616858,primary,random_pauli,128
10,4,0.22,0.26000000000000001,51,178,41.930715935334888,-0.059021810971579637,0.0015501879397060749,primary,random_pauli,128
10,4,0.22,0.27000000000000002,51,126,46.377020785219429,-0.021064425770308124,0.0017145688237619862,primary,random_pauli,128
10,4,0.22,0.28000000000000003,51,106,56.182448036951556,-0.050647428782833868,0.0020770776607859499,primary,random_pauli,128
10,4,0.22,0.29999999999999999,51,41,38.632794457274812,-0.084361549497847937,0.001428263045571888,primary,random_pauli,128
10,4,0.23999999999999999,0.25,163,201,9.4581408775981703,0.018020327808808672,0.00034966958215321522,primary,random_pauli,128
10,4,0.23999999999999999,0.26000000000000001,163,178,33.503464203233314,-0.072861377266147304,0.0012386305596671105,primary,random_pauli,128
10,4,0.23999999999999999,0.27000000000000002,163,126,53.360854503464296,-0.0049858798325055961,0.0019727627172226171,primary,random_pauli,128
10,4,0.23999999999999999,0.28000000000000003,163,106,79.806004618937791,-0.053380020835744835,0.0029504458275216566,primary,random_pauli,128
10,4,0.23999999999999999,0.29999999999999999,163,41,69.453810623556578,-0.097421317771459917,0.0025677229017818143,primary,random_pauli,128
10,4,0.25,0.26000000000000001,201,178,10.328521939953829,-0.1637430823411033,0.00038184776455995277,primary,random_pauli,128
