run,protocol,n,delta_left,delta_right,probability_slope,response,contribution
replication,z_projective,64,-1,0,-0.021396315659471546,0.40000000009313219,-0.0085585262657813035
replication,z_projective,64,-1,1,-3.3846646354068711e-05,0,-0
replication,z_projective,64,0,-1,-0.019367591586883177,0.40000000009313219,-0.0077470366365570168
replication,z_projective,64,0,0,-0.00024133395961090185,0.2000000000465661,-4.8266791933418353e-05
replication,z_projective,64,0,1,0.014838951388515261,-0.20000000004656632,-0.0029677902783940475
replication,z_projective,64,1,-1,9.3686843645366671e-05,0,0
replication,z_projective,64,1,0,0.016838480891662268,-0.20000000004656632,-0.0033676961791165596
replication,z_projective,64,1,1,0.016908145299918926,-0.60000000013969845,-0.010144887182313397
replication,z_projective,128,-1,-1,-0.012436599247453771,0.59999999999999998,-0.0074619595484722622
replication,z_projective,128,-1,0,-0.019268335806533744,0.39999999999999991,-0.0077073343226134955
replication,z_projective,128,-1,1,0.00018520289486117331,0,0
replication,z_projective,128,0,-1,-0.022816553380493793,0.39999999999999991,-0.0091266213521975156
replication,z_projective,128,0,0,-0.0056170809280482381,0.19999999999999996,-0.0011234161856096474
replication,z_projective,128,0,1,0.017606952788338695,-0.20000000000000018,-0.003521390557667742
replication,z_projective,128,1,-1,0.0016745192068524039,0,0
replication,z_projective,128,1,0,0.019560495283895536,-0.20000000000000018,-0.0039120990567791105
replication,z_projective,128,1,1,0.021111399188581743,-0.60000000000000009,-0.012666839513149048
replication,z_projective,256,-1,-1,-0.012847521094593195,0.59999999999999998,-0.0077085126567559168
replication,z_projective,256,-1,0,-0.021548180400119521,0.39999999999999991,-0.0086192721600478056
replication,z_projective,256,-1,1,0.002626200221056352,0,0
replication,z_projective,256,0,-1,-0.023407748838891112,0.39999999999999991,-0.0093630995355564427
replication,z_projective,256,0,0,-0.0067601292856029468,0.19999999999999996,-0.0013520258571205891
replication,z_projective,256,0,1,0.023285715400370964,-0.20000000000000018,-0.0046571430800741971
replication,z_projective,256,1,-1,0.0021780412755926315,0,0
replication,z_projective,256,1,0,0.020188044452763093,-0.20000000000000018,-0.0040376088905526219
replication,z_projective,256,1,1,0.016285578269423735,-0.60000000000000009,-0.0097713469616542425
