run,protocol,n,p_low,p_high,beta_per_pair,rows,strata,ci_low,ci_high,interval_source
replication,random_pauli,128,0.25,0.26000000000000001,-0.023732670525668423,1685,18,-0.049510074798278,0.0026725985048886998,archived table; not freshly resampled
replication,random_pauli,128,0.26000000000000001,0.27000000000000002,-0.025446109596511758,1711,17,-0.048518597059900297,-0.0028830210262407998,archived table; not freshly resampled
replication,random_pauli,128,0.27000000000000002,0.28000000000000003,-0.019466441799913886,1709,16,-0.043875939299303397,0.0032478446461109002,archived table; not freshly resampled
replication,random_pauli,128,0.28000000000000003,0.29999999999999999,-0.063257548335778346,1750,15,-0.088986526759814305,-0.038303946001965197,archived table; not freshly resampled
replication,random_pauli,128,0.29999999999999999,0.34000000000000002,-0.046916331715429631,1694,11,-0.072237205506271204,-0.022166537840630801,archived table; not freshly resampled
replication,random_pauli,256,0.20000000000000001,0.22,-0.079749998853913914,679,12,-0.12762037533027629,-0.032183947849628303,archived table; not freshly resampled
replication,random_pauli,256,0.22,0.23999999999999999,-0.089191748205099119,778,12,-0.13440012839867849,-0.044953449534014103,archived table; not freshly resampled
replication,random_pauli,256,0.23999999999999999,0.25,-0.051115131815382485,1437,18,-0.083563230506403796,-0.0192316594287242,archived table; not freshly resampled
replication,random_pauli,256,0.25,0.26000000000000001,-0.054841868167100127,1465,17,-0.083030575905084003,-0.025098316541341498,archived table; not freshly resampled
replication,random_pauli,256,0.26000000000000001,0.27000000000000002,-0.030379328743753299,1656,18,-0.055267364220907798,-0.0025569856639676,archived table; not freshly resampled
replication,random_pauli,256,0.27000000000000002,0.28000000000000003,-0.046582230219629157,1598,15,-0.072887941861126598,-0.0224812104308845,archived table; not freshly resampled
replication,random_pauli,256,0.28000000000000003,0.29999999999999999,-0.05268677947972511,1738,15,-0.078668716201424599,-0.0268918510342642,archived table; not freshly resampled
replication,random_pauli,256,0.29999999999999999,0.34000000000000002,-0.072924183806015078,1667,11,-0.096584539330181199,-0.050125025727766198,archived table; not freshly resampled
replication,z_projective,32,0.20000000000000001,0.22,-0.04980163158884239,1713,15,-0.076541228264943501,-0.023218584616668099,archived table; not freshly resampled
replication,z_projective,32,0.22,0.23999999999999999,-0.041817952675246774,1686,14,-0.069184394719040504,-0.016093575860673798,archived table; not freshly resampled
